MNC_Id	Spruce_contig_dir8_Name
MNC5689332	Contig2313
MNC5689336	Contig2317
MNC5689337	Contig2318
MNC5689338	Contig2319
MNC5689339	Contig2320
MNC5689340	Contig2321
MNC5689341	Contig2322
MNC5689342	Contig2323
MNC5689343	Contig2324
MNC5689346	Contig2327
MNC5689349	Contig2330
MNC5689351	Contig2332
MNC5689351	Contig2332
MNC5689354	Contig2335
MNC5689357	Contig2338
MNC5689358	Contig2339
MNC5689362	Contig2343
MNC5689365	Contig2346
MNC5689368	Contig2349
MNC5689368	Contig2349
MNC5689369	Contig2350
MNC5689370	Contig2351
MNC5689370	Contig2351
MNC5689373	Contig2354
MNC5689375	Contig2356
MNC5689376	Contig2357
MNC5689377	Contig2358
MNC5689378	Contig2359
MNC5689380	Contig2361
MNC5689381	Contig2362
MNC5689382	Contig2363
